"Tm","year","W","WIN.","avg_G_C","avg_GS_C","avg_MP_C","avg_FG_C","avg_FGA_C","avg_FG_Percentage_C","avg_3P_C","avg_3PA_C","avg_3P_Percentage_C","avg_2P_C","avg_2PA_C","avg_2P_Percentage_C","avg_eFG_Percentage_C","avg_FT_C","avg_FTA_C","avg_FT_Percentage_C","avg_ORB_C","avg_DRB_C","avg_TRB_C","avg_AST_C","avg_STL_C","avg_BLK_C","avg_TOV_C","avg_PF_C","avg_PTS_C","avg_G_PG","avg_GS_PG","avg_MP_PG","avg_FG_PG","avg_FGA_PG","avg_FG_Percentage_PG","avg_3P_PG","avg_3PA_PG","avg_3P_Percentage_PG","avg_2P_PG","avg_2PA_PG","avg_2P_Percentage_PG","avg_eFG_Percentage_PG","avg_FT_PG","avg_FTA_PG","avg_FT_Percentage_PG","avg_ORB_PG","avg_DRB_PG","avg_TRB_PG","avg_AST_PG","avg_STL_PG","avg_BLK_PG","avg_TOV_PG","avg_PF_PG","avg_PTS_PG","avg_G_PF","avg_GS_PF","avg_MP_PF","avg_FG_PF","avg_FGA_PF","avg_FG_Percentage_PF","avg_3P_PF","avg_3PA_PF","avg_3P_Percentage_PF","avg_2P_PF","avg_2PA_PF","avg_2P_Percentage_PF","avg_eFG_Percentage_PF","avg_FT_PF","avg_FTA_PF","avg_FT_Percentage_PF","avg_ORB_PF","avg_DRB_PF","avg_TRB_PF","avg_AST_PF","avg_STL_PF","avg_BLK_PF","avg_TOV_PF","avg_PF_PF","avg_PTS_PF","avg_G_SF","avg_GS_SF","avg_MP_SF","avg_FG_SF","avg_FGA_SF","avg_FG_Percentage_SF","avg_3P_SF","avg_3PA_SF","avg_3P_Percentage_SF","avg_2P_SF","avg_2PA_SF","avg_2P_Percentage_SF","avg_eFG_Percentage_SF","avg_FT_SF","avg_FTA_SF","avg_FT_Percentage_SF","avg_ORB_SF","avg_DRB_SF","avg_TRB_SF","avg_AST_SF","avg_STL_SF","avg_BLK_SF","avg_TOV_SF","avg_PF_SF","avg_PTS_SF","avg_G_SG","avg_GS_SG","avg_MP_SG","avg_FG_SG","avg_FGA_SG","avg_FG_Percentage_SG","avg_3P_SG","avg_3PA_SG","avg_3P_Percentage_SG","avg_2P_SG","avg_2PA_SG","avg_2P_Percentage_SG","avg_eFG_Percentage_SG","avg_FT_SG","avg_FTA_SG","avg_FT_Percentage_SG","avg_ORB_SG","avg_DRB_SG","avg_TRB_SG","avg_AST_SG","avg_STL_SG","avg_BLK_SG","avg_TOV_SG","avg_PF_SG","avg_PTS_SG"
"MIL",2020,56,0.767,60.5,32,20.5,3.15,7,0.4645,1,3.15,0.32,2.15,3.85,0.5725,0.5315,1,1.35,0.6725,0.8,2.7,3.45,1.15,0.45,1.55,0.95,1.85,8.25,38,18.6666666666667,19.0666666666667,3.3,7.16666666666667,0.425,1,2.73333333333333,0.342666666666667,2.3,4.4,0.481333333333333,0.496333333333333,1.46666666666667,1.9,0.714666666666667,0.7,2.26666666666667,2.96666666666667,3.36666666666667,0.666666666666667,0.166666666666667,1.46666666666667,1.4,9.1,48,21.6666666666667,18.6333333333333,4.86666666666667,9.5,0.471666666666667,0.933333333333333,2.93333333333333,0.310666666666667,3.96666666666667,6.56666666666667,0.578333333333333,0.533333333333333,2.53333333333333,3.86666666666667,0.709,1.23333333333333,5.76666666666667,6.93333333333333,2.43333333333333,0.5,0.5,1.6,1.8,13.2,42,13.75,16.7,3.2,6.875,0.45575,1.225,3.2,0.28725,1.975,3.65,0.5265,0.5375,1.2,1.475,0.7425,0.55,2.675,3.275,1.7,0.525,0.15,1.075,1.325,8.825,60.6666666666667,28.3333333333333,22.0333333333333,2.7,6.16666666666667,0.438333333333333,1.2,3.46666666666667,0.343333333333333,1.46666666666667,2.63333333333333,0.549666666666667,0.536,0.733333333333333,0.966666666666667,0.760333333333333,0.733333333333333,3.13333333333333,3.9,1.8,0.766666666666667,0.3,0.9,1.36666666666667,7.33333333333333
"TOR",2020,53,0.736,30,20.6666666666667,19.2666666666667,3.2,6.8,0.379,0.9,2.36666666666667,0.266666666666667,2.23333333333333,4.36666666666667,0.417333333333333,0.433,1,1.3,0.823333333333333,1.13333333333333,4.33333333333333,5.46666666666667,1.63333333333333,0.533333333333333,0.566666666666667,1.16666666666667,2.36666666666667,8.2,34.6666666666667,33.3333333333333,25.0666666666667,4.23333333333333,10.0666666666667,0.475333333333333,1.96666666666667,5.26666666666667,0.414,2.26666666666667,4.76666666666667,0.534,0.574333333333333,2.76666666666667,3.23333333333333,0.901333333333333,0.333333333333333,2.66666666666667,2.96666666666667,4.93333333333333,1.06666666666667,0.333333333333333,1.76666666666667,2.06666666666667,13.2,42.6666666666667,17.6666666666667,17.8333333333333,3.76666666666667,8.4,0.391666666666667,0.933333333333333,2.83333333333333,0.265333333333333,2.83333333333333,5.53333333333333,0.468,0.439666666666667,2,2.46666666666667,0.809666666666667,1,3.4,4.33333333333333,1.46666666666667,0.533333333333333,0.666666666666667,1.1,1.73333333333333,10.3666666666667,39.2,16,17.18,1.94,4.28,0.4172,0.46,1.44,0.2678,1.46,2.82,0.4892,0.481,0.7,1.02,0.6222,0.84,2.06,2.92,1.22,0.74,0.28,0.68,1.5,5.06,47,8.33333333333333,18.5,3.43333333333333,7.06666666666667,0.483666666666667,1.53333333333333,3.73333333333333,0.420333333333333,1.96666666666667,3.36666666666667,0.555666666666667,0.604,1.13333333333333,1.36666666666667,0.801,0.466666666666667,2.33333333333333,2.86666666666667,1.33333333333333,0.666666666666667,0.2,0.966666666666667,1.53333333333333,9.53333333333333
"LAL",2020,52,0.732,61.5,31.5,18,3,4.35,0.686,0,0.1,0.55,2.95,4.3,0.6885,0.691,1.1,2.05,0.5735,2.15,4.45,6.6,0.65,0.45,1.35,1,2.8,7.15,51,16,21,4.15,8.875,0.4445,1.125,3.125,0.35275,3.025,5.725,0.49775,0.51075,1.45,2.025,0.6965,0.475,3,3.475,4.625,0.825,0.2,1.85,1.275,10.75,37.3333333333333,20.6666666666667,20.2,4.63333333333333,9.66666666666667,0.4715,0.833333333333333,2.63333333333333,0.316,3.83333333333333,7,0.5385,0.5175,2.93333333333333,3.56666666666667,0.7915,1.06666666666667,3.66666666666667,4.73333333333333,1.56666666666667,0.633333333333333,0.933333333333333,1.36666666666667,1.5,13.0666666666667,40,1,7.8,0.5,1.3,0.4,0.4,0.9,0.471,0.1,0.4,0.25,0.56,0.1,0.1,1,0.1,1,1.1,0.5,0.3,0.1,0.2,0.9,1.5,43.75,31.25,19.3,2.475,5.675,0.33375,1.15,3.1,0.284,1.35,2.575,0.523,0.41075,0.525,0.675,0.779666666666667,0.425,1.55,1.95,1.35,0.85,0.2,0.7,1.55,6.575
"BOS",2020,48,0.667,31.8,12.8,12.94,2.26,3.8,0.6086,0.08,0.32,0.321333333333333,2.14,3.48,0.6236,0.6188,0.74,1.08,0.6444,1.4,3.08,4.48,0.78,0.4,0.76,0.7,1.76,5.38,41,17,20,3.46666666666667,8.36666666666667,0.397333333333333,1.36666666666667,3.96666666666667,0.306666666666667,2.06666666666667,4.43333333333333,0.474,0.462,2.06666666666667,2.3,0.932666666666667,0.333333333333333,2,2.33333333333333,2.86666666666667,0.733333333333333,0.3,1.4,1.5,10.3666666666667,60.6666666666667,23,21.6,3.63333333333333,8.2,0.424666666666667,1.23333333333333,3.36666666666667,0.337333333333333,2.36666666666667,4.8,0.501666666666667,0.505333333333333,1.6,2,0.808,0.766666666666667,3.13333333333333,3.93333333333333,1.46666666666667,0.733333333333333,0.5,1.03333333333333,1.83333333333333,10.0666666666667,46.3333333333333,32,25.6,5.16666666666667,10.3666666666667,0.497333333333333,1.26666666666667,3.43333333333333,0.344666666666667,3.83333333333333,6.93333333333333,0.559333333333333,0.551,1.93333333333333,2.53333333333333,0.740666666666667,0.833333333333333,4.06666666666667,4.9,2.26666666666667,0.8,0.3,1.5,1.86666666666667,13.5333333333333,38.3333333333333,13.3333333333333,17.5,2.16666666666667,5.83333333333333,0.360666666666667,1.06666666666667,3.23333333333333,0.291333333333333,1.1,2.6,0.414333333333333,0.438333333333333,0.966666666666667,1.23333333333333,0.792333333333333,0.5,1.63333333333333,2.06666666666667,1.86666666666667,0.733333333333333,0.266666666666667,0.8,1.56666666666667,6.36666666666667
"DEN",2020,46,0.63,59,33,24.65,5.4,9.8,0.5725,0.55,1.8,0.157,4.85,8,0.6105,0.591,2.4,3.35,0.6745,2.05,5.7,7.75,4.65,0.85,0.65,2.25,2.75,13.7,47,21,21.8333333333333,4.03333333333333,9.03333333333333,0.436666666666667,1,3,0.323333333333333,3.03333333333333,6.03333333333333,0.490333333333333,0.488333333333333,1.33333333333333,1.56666666666667,0.784,0.433333333333333,1.93333333333333,2.33333333333333,3.23333333333333,0.766666666666667,0.233333333333333,1.16666666666667,1.36666666666667,10.4333333333333,52,21.3333333333333,21.5333333333333,3.76666666666667,7.8,0.484,1.13333333333333,2.66666666666667,0.420666666666667,2.63333333333333,5.13333333333333,0.519333333333333,0.556,1.7,2.16666666666667,0.781333333333333,1.3,3.2,4.5,1.16666666666667,0.666666666666667,0.6,1,2.23333333333333,10.3666666666667,40.6666666666667,25.6666666666667,17.8666666666667,2.66666666666667,6,0.437333333333333,0.9,2.53333333333333,0.290666666666667,1.83333333333333,3.46666666666667,0.553333333333333,0.501333333333333,0.833333333333333,1.06666666666667,0.804,0.9,2.53333333333333,3.36666666666667,1.53333333333333,0.533333333333333,0.4,0.7,1.6,7.1,56,55,31.8,3.9,9.3,0.42,1.3,3.8,0.333,2.6,5.5,0.479,0.487,1.3,1.6,0.815,0.5,2.4,2.9,2.1,1.4,0.3,1.1,2.1,10.4
"IND",2020,45,0.616,55.3333333333333,39.6666666666667,24.2666666666667,4.26666666666667,8.56666666666667,0.488,0.6,2,0.252333333333333,3.66666666666667,6.56666666666667,0.566,0.523666666666667,2,2.7,0.733333333333333,1.56666666666667,5.4,6.96666666666667,2.16666666666667,0.566666666666667,1.13333333333333,1.46666666666667,2.26666666666667,11.1333333333333,48.5,19.75,21.75,3.6,8.1,0.4465,0.8,2.325,0.32575,2.825,5.8,0.4845,0.491,1.25,1.45,0.814,0.525,2.25,2.775,4.25,0.7,0.225,1.475,1.525,9.2,43.5,0.5,13.85,2.55,5.35,0.463,1.05,2.45,0.401,1.5,2.9,0.4995,0.541,0.5,0.65,0.705,0.6,1.9,2.55,0.65,0.2,0.1,0.45,1.2,6.65,33.3333333333333,23.6666666666667,16.6,3.26666666666667,6.16666666666667,0.529666666666667,0.4,1.16666666666667,0.2645,2.9,5,0.571333333333333,0.547,1.06666666666667,1.43333333333333,0.676333333333333,0.7,1.83333333333333,2.56666666666667,0.633333333333333,0.466666666666667,0.233333333333333,0.6,1.66666666666667,8.1,26.4,11,19.8,2.96,7.3,0.3758,1.08,3.44,0.249,1.88,3.88,0.5046,0.4408,1.04,1.3,0.798666666666667,0.34,2.46,2.82,1.74,0.7,0.36,0.96,1.28,8.04
"HOU",2020,44,0.611,29.3333333333333,15.3333333333333,17.6,2.9,4.5,0.688,0,0.0666666666666667,0,2.9,4.43333333333333,0.705666666666667,0.688,0.8,1.46666666666667,0.556666666666667,2.2,4.6,6.73333333333333,0.733333333333333,0.466666666666667,0.866666666666667,0.866666666666667,1.86666666666667,6.63333333333333,53,53,35.9,10.7,22.6,0.474,1,3.8,0.254,9.8,18.8,0.518,0.495,5.1,6.5,0.777,1.8,6.3,8,7,1.7,0.3,4.5,3.5,27.5,35.6666666666667,21.3333333333333,17.3333333333333,1.46666666666667,3.83333333333333,0.375333333333333,0.8,2.6,0.282666666666667,0.666666666666667,1.23333333333333,0.556,0.468666666666667,0.233333333333333,0.3,0.608,0.7,3.53333333333333,4.23333333333333,1.06666666666667,0.733333333333333,0.266666666666667,0.633333333333333,1.6,3.93333333333333,58,47,30,3.6,8.3,0.427,1.9,5.4,0.363,1.6,2.9,0.544,0.545,1.2,1.5,0.8,1,3.3,4.2,1.3,1.1,0.6,0.8,2.1,10.2,36.7142857142857,13.8571428571429,19.2857142857143,3.32857142857143,8.28571428571429,0.348571428571429,1.75714285714286,5.34285714285714,0.289285714285714,1.57142857142857,2.94285714285714,0.569666666666667,0.446428571428571,2.11428571428571,2.61428571428571,0.761166666666667,0.3,1.84285714285714,2.15714285714286,1.82857142857143,0.585714285714286,0.271428571428571,1.18571428571429,1.74285714285714,10.5571428571429
"OKC",2020,44,0.611,39.75,16,15.55,2.525,4.525,0.51975,0.3,0.975,0.3185,2.175,3.6,0.58,0.567,0.925,1.375,0.724333333333333,1.35,3.05,4.4,1.15,0.525,0.725,0.8,1.625,6.25,63,32,31.4,6.65,13.9,0.4785,1.75,4.75,0.3715,4.9,9.1,0.5345,0.542,3.35,3.85,0.8695,0.3,4,4.3,5.45,1.15,0.15,2.35,2.2,18.35,38.3333333333333,21,16.8666666666667,2.6,6.5,0.304333333333333,1.2,3.43333333333333,0.236333333333333,1.4,3.06666666666667,0.417666666666667,0.362666666666667,1.63333333333333,1.9,0.7835,0.333333333333333,2.83333333333333,3.16666666666667,0.9,0.366666666666667,0.266666666666667,0.7,0.7,8,34.75,11.25,15.325,1.55,3.675,0.31975,0.475,1.55,0.289333333333333,1.075,2.1,0.4165,0.3745,0.5,0.725,0.728333333333333,0.4,1.425,1.825,0.55,0.4,0.225,0.675,1.7,4.075,32.75,21,17.375,2.625,6.075,0.3645,0.575,1.95,0.21725,2.1,4.125,0.462,0.40425,1.45,1.85,0.70725,0.35,2.025,2.4,1.225,0.5,0.275,0.75,1.35,7.325
"UTA",2020,44,0.611,45.6666666666667,21.3333333333333,18.6333333333333,2.8,4.23333333333333,0.591666666666667,0,0,1,2.76666666666667,4.23333333333333,0.590666666666667,0.592666666666667,1.46666666666667,2.36666666666667,0.575333333333333,2.13333333333333,5.13333333333333,7.26666666666667,0.7,0.466666666666667,0.966666666666667,0.966666666666667,2.46666666666667,7.03333333333333,24.75,9,12.35,1.925,4.675,0.339666666666667,0.65,1.75,0.243666666666667,1.325,2.925,0.380333333333333,0.382666666666667,0.9,1.125,0.849666666666667,0.325,1.225,1.55,1.775,0.325,0.1,0.875,0.925,5.375,35.75,13.75,12.4,1.225,2.675,0.473666666666667,0.675,1.7,0.335,0.525,0.975,0.580333333333333,0.574666666666667,0.225,0.3,0.7995,0.2,2.15,2.35,0.85,0.225,0.25,0.45,1.175,3.325,43.6666666666667,33.3333333333333,22.2666666666667,3.33333333333333,7.76666666666667,0.296,1.63333333333333,4.13333333333333,0.270333333333333,1.7,3.66666666666667,0.331666666666667,0.371333333333333,1.66666666666667,1.9,0.8385,0.333333333333333,2.63333333333333,2.96666666666667,2.53333333333333,0.466666666666667,0.0666666666666667,1.63333333333333,1.53333333333333,10,27.3333333333333,21,14.0666666666667,3.16666666666667,7.13333333333333,0.291333333333333,0.833333333333333,2.46666666666667,0.121333333333333,2.33333333333333,4.63333333333333,0.372,0.312666666666667,1.4,1.66666666666667,0.7295,0.266666666666667,1.63333333333333,1.9,1.43333333333333,0.366666666666667,0.0666666666666667,1.03333333333333,0.966666666666667,8.53333333333333
"MIA",2020,44,0.603,54,27.5,19.3,2.5,5,0.498,1.2,2.75,0.4305,1.25,2.15,0.5815,0.619,0.75,0.95,0.754,0.6,4.15,4.75,1.35,0.45,0.3,0.9,2.25,6.9,30,0.5,17.7,3.05,7.75,0.324,1.45,4.25,0.3135,1.6,3.5,0.2455,0.421,1.55,2.05,0.769,0.25,1.55,1.8,2.8,0.4,0.05,1.25,1.1,9.05,36.3333333333333,21.6666666666667,16.3,2.53333333333333,4.93333333333333,0.452333333333333,0,0.3,0.0256666666666667,2.53333333333333,4.6,0.489333333333333,0.452666666666667,1.8,2.6,0.711333333333333,1.26666666666667,4,5.3,1.96666666666667,0.466666666666667,0.566666666666667,1.2,1.83333333333333,6.93333333333333,37.2,26.8,25.2,3.78,8.36,0.4846,1.08,3.16,0.2376,2.68,5.26,0.5918,0.5434,2.36,3,0.737,0.94,3.4,4.34,2.56,0.86,0.42,1.2,2.06,11.02,26,13.6,18.6,3.24,7.62,0.414,1.56,3.82,0.4198,1.68,3.8,0.3522,0.5296,0.54,0.82,0.4805,0.26,2.58,2.84,1.72,0.4,0.42,1.16,1.52,8.6
